ActivityNumber,ActivityName,SeasonName,Status,CategoryName,Community Center,NumberEnrolled,BeginningDate,EndingDate,StartingTime,EndingTime,Minimum Age,Maximum Age,Day(s),NumberOfHours,NumberOfDates,Fee
420.2.0612,Piano Keyboard Level 1,Fall 2013,Cancelled,Music & Theater Arts,Emma Prusch Farm Park,0,2014-01-10T00:00:00,2014-02-14T00:00:00,16:35:00,17:20:00,6,12,F,0,0,84
251.2.1800,Arthritis Foundation Exercise Program,Fall 2013,Closed,Active Adults (50+) Classes,Almaden Community Center,10,2013-09-04T00:00:00,2013-09-27T00:00:00,15:15:00,16:15:00,50,0,W F,8,8,37
251.2.1801,Arthritis Foundation Exercise Program,Fall 2013,Closed,Active Adults (50+) Classes,Almaden Community Center,7,2013-10-02T00:00:00,2013-10-25T00:00:00,15:15:00,16:15:00,50,0,W F,8,8,37
251.2.1802,Arthritis Foundation Exercise Program,Fall 2013,Closed,Active Adults (50+) Classes,Almaden Community Center,8,2013-10-30T00:00:00,2013-11-22T00:00:00,15:15:00,16:15:00,50,0,W F,8,8,37
251.2.1818,Cooking Class,Fall 2013,Closed,Active Adults (50+) Classes,Almaden Community Center,14,2013-10-01T00:00:00,2013-10-22T00:00:00,10:00:00,12:00:00,50,0,Tu,8,4,88
251.2.1892,Dance Fit,Fall 2013,Closed,Active Adults (50+) Classes,Almaden Community Center,40,2013-09-03T00:00:00,2013-09-26T00:00:00,08:00:00,09:00:00,50,0,Tu Th,8,8,41
251.2.1893,Dance Fit,Fall 2013,Closed,Active Adults (50+) Classes,Almaden Community Center,40,2013-10-01T00:00:00,2013-10-31T00:00:00,08:00:00,09:00:00,50,0,Tu Th,10,10,49
251.2.1894,Dance Fit,Fall 2013,Closed,Active Adults (50+) Classes,Almaden Community Center,40,2013-11-05T00:00:00,2013-12-12T00:00:00,08:00:00,09:00:00,50,0,Tu Th,11,11,53
251.2.1805,Enhance Fitness,Fall 2013,Closed,Active Adults (50+) Classes,Almaden Community Center,9,2013-09-03T00:00:00,2013-11-07T00:00:00,10:20:00,11:20:00,55,0,Tu Th,20,20,60
251.2.1809,Feldenkrais,Fall 2013,Closed,Active Adults (50+) Classes,Almaden Community Center,38,2013-09-13T00:00:00,2013-10-18T00:00:00,09:40:00,10:40:00,50,0,F,6,6,39
251.2.1810,Feldenkrais,Fall 2013,Closed,Active Adults (50+) Classes,Almaden Community Center,34,2013-10-25T00:00:00,2013-12-13T00:00:00,09:40:00,10:40:00,50,0,F,7,7,44
251.2.1811,Feldenkrais,Fall 2013,Closed,Active Adults (50+) Classes,Almaden Community Center,14,2013-09-09T00:00:00,2013-10-21T00:00:00,10:00:00,11:00:00,50,0,M,6,6,39
251.2.1812,Feldenkrais,Fall 2013,Closed,Active Adults (50+) Classes,Almaden Community Center,10,2013-10-28T00:00:00,2013-12-09T00:00:00,10:00:00,11:00:00,50,0,M,6,6,39
251.2.1831,Flower Arrangement Workshop,Fall 2013,Closed,Active Adults (50+) Classes,Almaden Community Center,3,2013-09-14T00:00:00,2013-09-14T00:00:00,09:30:00,11:30:00,50,0,Sa,2,1,48
251.2.1820,Hula Hawaiian Dance,Fall 2013,Cancelled,Active Adults (50+) Classes,Almaden Community Center,0,2013-09-20T00:00:00,2013-10-25T00:00:00,14:00:00,15:00:00,50,0,F,6,6,37
251.2.1822,Line Dance Beginner/Intermediate,Fall 2013,Closed,Active Adults (50+) Classes,Almaden Community Center,45,2013-10-17T00:00:00,2013-12-05T00:00:00,08:30:00,11:30:00,50,0,Th,21,7,24
251.2.1824,Line Dance Beginner/Intermediate,Fall 2013,Closed,Active Adults (50+) Classes,Almaden Community Center,31,2013-09-05T00:00:00,2013-10-10T00:00:00,08:30:00,11:30:00,50,0,Th,18,6,24
251.2.1817,Line Dance Novice,Fall 2013,Closed,Active Adults (50+) Classes,Almaden Community Center,35,2013-10-16T00:00:00,2013-11-27T00:00:00,13:00:00,14:30:00,50,0,W,10.5,7,29
251.2.1819,Line Dance Novice,Fall 2013,Closed,Active Adults (50+) Classes,Almaden Community Center,37,2013-09-04T00:00:00,2013-10-09T00:00:00,13:00:00,14:30:00,50,0,W,9,6,29
251.2.1826,Matter of Balance,Fall 2013,Closed,Active Adults (50+) Classes,Almaden Community Center,4,2013-09-24T00:00:00,2013-10-17T00:00:00,12:30:00,14:30:00,50,0,Tu Th,16,8,18
251.2.1828,Memoir Writing,Fall 2013,Cancelled,Active Adults (50+) Classes,Almaden Community Center,0,2013-08-19T00:00:00,2013-09-30T00:00:00,10:00:00,11:30:00,50,0,M,0,0,42
251.2.1835,Morning Stretch/Body Conditioning,Fall 2013,Closed,Active Adults (50+) Classes,Almaden Community Center,149,2013-08-19T00:00:00,2013-12-13T00:00:00,08:00:00,08:40:00,50,0,M W F,31.332999999999998408384271897375583648681640625,47,29
251.2.1836,Morning Stretch/Body Conditioning,Fall 2013,Closed,Active Adults (50+) Classes,Almaden Community Center,108,2013-08-19T00:00:00,2013-12-13T00:00:00,08:50:00,09:30:00,50,0,M W F,31.332999999999998408384271897375583648681640625,47,29
251.2.1855,Piano Keyboarding 1A,Fall 2013,Closed,Active Adults (50+) Classes,Almaden Community Center,11,2013-08-23T00:00:00,2013-10-11T00:00:00,09:30:00,10:15:00,50,0,F,6,8,25
251.2.1856,Piano Keyboarding 1A,Fall 2013,Closed,Active Adults (50+) Classes,Almaden Community Center,14,2013-10-18T00:00:00,2013-12-13T00:00:00,09:30:00,10:15:00,50,0,F,6,8,25
251.2.1857,Piano Keyboarding 1B,Fall 2013,Closed,Active Adults (50+) Classes,Almaden Community Center,11,2013-08-23T00:00:00,2013-10-11T00:00:00,10:30:00,11:15:00,50,0,F,6,8,25
251.2.1858,Piano Keyboarding 1B,Fall 2013,Closed,Active Adults (50+) Classes,Almaden Community Center,10,2013-10-18T00:00:00,2013-12-13T00:00:00,10:30:00,11:15:00,50,0,F,6,8,25
251.2.1864,Spanish Intermediate,Fall 2013,Closed,Active Adults (50+) Classes,Almaden Community Center,21,2013-08-26T00:00:00,2013-12-09T00:00:00,13:00:00,15:00:00,50,0,M,26,13,65
251.2.1871,Tai Chi,Fall 2013,Closed,Active Adults (50+) Classes,Almaden Community Center,11,2013-08-28T00:00:00,2013-10-02T00:00:00,10:30:00,11:30:00,50,0,W,6,6,42
251.2.1872,Tai Chi,Fall 2013,Closed,Active Adults (50+) Classes,Almaden Community Center,9,2013-10-09T00:00:00,2013-11-13T00:00:00,10:30:00,11:30:00,50,0,W,6,6,42
251.2.1873,Tai Chi,Fall 2013,Closed,Active Adults (50+) Classes,Almaden Community Center,6,2013-11-20T00:00:00,2013-12-11T00:00:00,10:30:00,11:30:00,50,0,W,4,4,31
251.2.1882,Tai Chi for Strength & Balance,Fall 2013,Closed,Active Adults (50+) Classes,Almaden Community Center,5,2013-09-26T00:00:00,2013-10-31T00:00:00,14:30:00,15:30:00,50,0,Th,6,6,42
251.2.1883,Tai Chi for Strength & Balance,Fall 2013,Closed,Active Adults (50+) Classes,Almaden Community Center,7,2013-11-07T00:00:00,2013-12-12T00:00:00,14:30:00,15:30:00,50,0,Th,5,5,42
251.2.1880,Voice Lessons,Fall 2013,Closed,Active Adults (50+) Classes,Almaden Community Center,20,2013-09-24T00:00:00,2013-11-26T00:00:00,15:00:00,17:00:00,50,0,Tu,20,10,42
251.2.1886,Yoga - Gentle,Fall 2013,Closed,Active Adults (50+) Classes,Almaden Community Center,40,2013-09-13T00:00:00,2013-10-18T00:00:00,10:50:00,11:50:00,50,0,F,6,6,39
251.2.1887,Yoga - Gentle,Fall 2013,Closed,Active Adults (50+) Classes,Almaden Community Center,44,2013-10-25T00:00:00,2013-12-13T00:00:00,10:50:00,11:50:00,50,0,F,7,7,44
213.2.1800,Line Dancing - Beg,Fall 2013,Closed,Active Adults (50+) Classes,Berryessa Community Center,11,2013-09-13T00:00:00,2013-10-18T00:00:00,08:45:00,09:45:00,50,99,F,6,6,30
213.2.1801,Line Dancing - Beg,Fall 2013,Closed,Active Adults (50+) Classes,Berryessa Community Center,6,2013-10-25T00:00:00,2013-12-06T00:00:00,08:45:00,09:45:00,50,99,F,6,6,30
213.2.1802,Mixed Media Art,Fall 2013,Closed,Active Adults (50+) Classes,Berryessa Community Center,17,2013-09-13T00:00:00,2013-11-01T00:00:00,13:00:00,15:00:00,50,99,F,16,8,62
213.2.1803,Mixed Media Art,Fall 2013,Closed,Active Adults (50+) Classes,Berryessa Community Center,16,2013-11-08T00:00:00,2014-01-17T00:00:00,13:00:00,15:00:00,50,99,F,18,9,62
213.2.1804,Watercolor Mania,Fall 2013,Closed,Active Adults (50+) Classes,Berryessa Community Center,18,2013-09-13T00:00:00,2013-11-01T00:00:00,10:00:00,12:00:00,50,99,F,16,8,62
213.2.1805,Watercolor Mania,Fall 2013,Closed,Active Adults (50+) Classes,Berryessa Community Center,16,2013-11-08T00:00:00,2014-01-17T00:00:00,10:00:00,12:00:00,50,99,F,18,9,62
257.2.1871,Antiques: Through the Eyes of a Collector,Fall 2013,Closed,Active Adults (50+) Classes,Camden Community Center,18,2013-09-10T00:00:00,2013-10-15T00:00:00,10:00:00,12:00:00,50,99,Tu,12,6,102
257.2.1875,Enhance Fitness,Fall 2013,Closed,Active Adults (50+) Classes,Camden Community Center,29,2013-09-16T00:00:00,2013-11-18T00:00:00,10:00:00,11:00:00,50,99,M Th,17,17,60
257.2.1876,Enhance Fitness,Fall 2013,Cancelled,Active Adults (50+) Classes,Camden Community Center,1,2013-09-13T00:00:00,2013-11-15T00:00:00,10:40:00,11:40:00,50,99,F,0,0,30
257.2.1877,Enhance Fitness,Fall 2013,Closed,Active Adults (50+) Classes,Camden Community Center,21,2013-11-21T00:00:00,2013-12-19T00:00:00,10:00:00,11:00:00,50,99,M Th,8,8,28
257.2.1819,Feldenkrais,Fall 2013,Closed,Active Adults (50+) Classes,Camden Community Center,10,2013-09-03T00:00:00,2013-10-29T00:00:00,13:30:00,14:30:00,50,100,Tu,9,9,53
257.2.1821,Feldenkrais,Fall 2013,Closed,Active Adults (50+) Classes,Camden Community Center,13,2013-11-05T00:00:00,2014-01-14T00:00:00,13:30:00,14:30:00,50,100,Tu,9,9,53
256.2.1831,Cardio Circuit for the Active Adult,Fall 2013,Cancelled,Active Adults (50+) Classes,Cypress Community & Senior Center,0,2013-09-04T00:00:00,2013-10-09T00:00:00,10:00:00,11:00:00,50,0,W,6,6,30
256.2.1832,Cardio Circuit for the Active Adult,Fall 2013,Closed,Active Adults (50+) Classes,Cypress Community & Senior Center,10,2013-10-07T00:00:00,2013-12-16T00:00:00,08:00:00,09:00:00,50,0,M,9,9,48
256.2.1821,Chair Exercise,Fall 2013,Closed,Active Adults (50+) Classes,Cypress Community & Senior Center,14,2013-09-17T00:00:00,2013-11-07T00:00:00,12:30:00,13:30:00,50,0,Tu Th,16,16,53
256.2.1822,Chair Exercise,Fall 2013,Closed,Active Adults (50+) Classes,Cypress Community & Senior Center,11,2013-11-12T00:00:00,2013-12-12T00:00:00,12:30:00,13:30:00,50,0,Tu Th,9,9,43
256.2.1834,Dance Fit for the Active Adult,Fall 2013,Closed,Active Adults (50+) Classes,Cypress Community & Senior Center,10,2013-09-04T00:00:00,2013-10-09T00:00:00,10:00:00,11:00:00,50,0,W,6,6,30
256.2.1835,Dance Fit for the Active Adult,Fall 2013,Cancelled,Active Adults (50+) Classes,Cypress Community & Senior Center,0,2013-09-10T00:00:00,2013-10-15T00:00:00,10:00:00,11:00:00,50,0,Tu,6,6,30
256.2.1836,Dance Fit for the Active Adult,Fall 2013,Closed,Active Adults (50+) Classes,Cypress Community & Senior Center,25,2013-09-06T00:00:00,2013-10-11T00:00:00,10:00:00,11:00:00,50,0,F,6,6,30
256.2.1837,Dance Fit for the Active Adult,Fall 2013,Closed,Active Adults (50+) Classes,Cypress Community & Senior Center,18,2013-10-23T00:00:00,2013-11-27T00:00:00,10:00:00,11:00:00,50,0,W,6,6,30
256.2.1838,Dance Fit for the Active Adult,Fall 2013,Cancelled,Active Adults (50+) Classes,Cypress Community & Senior Center,0,2013-10-29T00:00:00,2013-12-03T00:00:00,10:00:00,11:00:00,50,0,Tu,6,6,30
256.2.1839,Dance Fit for the Active Adult,Fall 2013,Closed,Active Adults (50+) Classes,Cypress Community & Senior Center,26,2013-10-25T00:00:00,2013-12-06T00:00:00,10:00:00,11:00:00,50,0,F,6,6,30
256.2.1813,Enhance Fitness,Fall 2013,Closed,Active Adults (50+) Classes,Cypress Community & Senior Center,18,2013-10-02T00:00:00,2013-12-13T00:00:00,08:30:00,09:30:00,50,0,W F,20,20,60
256.2.1851,Health Management w/Qi-gong,Fall 2013,Closed,Active Adults (50+) Classes,Cypress Community & Senior Center,20,2013-09-12T00:00:00,2013-10-17T00:00:00,09:00:00,11:00:00,50,0,Th,12,6,36
256.2.1852,Health Management w/Qi-gong,Fall 2013,Closed,Active Adults (50+) Classes,Cypress Community & Senior Center,23,2013-10-31T00:00:00,2013-12-12T00:00:00,09:00:00,11:00:00,50,0,Th,12,6,36
256.2.1841,Health Management w/T'ai Chi Chih,Fall 2013,Closed,Active Adults (50+) Classes,Cypress Community & Senior Center,30,2013-09-10T00:00:00,2013-10-15T00:00:00,09:00:00,11:00:00,50,0,Tu,12,6,36
256.2.1842,Health Management w/T'ai Chi Chih,Fall 2013,Closed,Active Adults (50+) Classes,Cypress Community & Senior Center,27,2013-10-29T00:00:00,2013-12-10T00:00:00,09:00:00,11:00:00,50,0,Tu,12,6,36
256.2.1871,"Line Dance,  Intermediate",Fall 2013,Closed,Active Adults (50+) Classes,Cypress Community & Senior Center,20,2013-09-09T00:00:00,2013-10-21T00:00:00,12:30:00,14:30:00,50,0,M,12,6,48
256.2.1872,"Line Dance,  Intermediate",Fall 2013,Closed,Active Adults (50+) Classes,Cypress Community & Senior Center,19,2013-11-04T00:00:00,2013-12-16T00:00:00,12:30:00,14:30:00,50,0,M,12,6,48
256.2.1865,"Line Dance, Adv. Beginning",Fall 2013,Closed,Active Adults (50+) Classes,Cypress Community & Senior Center,28,2013-09-09T00:00:00,2013-10-21T00:00:00,10:15:00,11:30:00,50,0,M,7.5,6,35
256.2.1866,"Line Dance, Adv. Beginning",Fall 2013,Closed,Active Adults (50+) Classes,Cypress Community & Senior Center,31,2013-11-04T00:00:00,2013-12-16T00:00:00,10:15:00,11:30:00,50,0,M,7.5,6,35
256.2.1861,"Line Dance, Novice",Fall 2013,Closed,Active Adults (50+) Classes,Cypress Community & Senior Center,23,2013-09-09T00:00:00,2013-10-21T00:00:00,09:00:00,10:00:00,50,0,M,6,6,30
256.2.1862,"Line Dance, Novice",Fall 2013,Closed,Active Adults (50+) Classes,Cypress Community & Senior Center,27,2013-11-04T00:00:00,2013-12-16T00:00:00,09:00:00,10:00:00,50,0,M,6,6,30
256.2.1881,Square Dance,Fall 2013,Closed,Active Adults (50+) Classes,Cypress Community & Senior Center,15,2013-09-04T00:00:00,2013-09-25T00:00:00,13:30:00,15:30:00,50,0,W,8,4,29
256.2.1882,Square Dance,Fall 2013,Closed,Active Adults (50+) Classes,Cypress Community & Senior Center,12,2013-10-02T00:00:00,2013-10-23T00:00:00,13:30:00,15:30:00,50,0,W,8,4,29
256.2.1883,Square Dance,Fall 2013,Closed,Active Adults (50+) Classes,Cypress Community & Senior Center,13,2013-10-30T00:00:00,2013-11-20T00:00:00,13:30:00,15:30:00,50,0,W,8,4,29
256.2.1884,Square Dance,Fall 2013,Cancelled,Active Adults (50+) Classes,Cypress Community & Senior Center,0,2013-11-27T00:00:00,2013-12-04T00:00:00,13:30:00,15:30:00,50,0,W,4,2,29
215.2.1817,Antiques: Through the Eyes of a Collector,Fall 2013,Closed,Active Adults (50+) Classes,Evergreen Community Center,17,2013-09-09T00:00:00,2013-10-21T00:00:00,13:00:00,15:00:00,50,0,M,12,6,102
215.2.1808,Line Dancing - Advanced,Fall 2013,Closed,Active Adults (50+) Classes,Evergreen Community Center,6,2013-09-18T00:00:00,2013-11-06T00:00:00,13:00:00,14:30:00,50,0,W,12,8,44
215.2.1812,Line Dancing - Advanced,Fall 2013,Closed,Active Adults (50+) Classes,Evergreen Community Center,6,2013-11-13T00:00:00,2013-12-18T00:00:00,13:00:00,14:30:00,50,0,W,9,6,33
215.2.1807,Line Dancing - Intermediate,Fall 2013,Closed,Active Adults (50+) Classes,Evergreen Community Center,18,2013-09-19T00:00:00,2013-11-07T00:00:00,14:30:00,15:30:00,50,0,Th,8,8,36
215.2.1813,Line Dancing - Intermediate,Fall 2013,Closed,Active Adults (50+) Classes,Evergreen Community Center,15,2013-11-14T00:00:00,2013-12-19T00:00:00,14:30:00,15:30:00,50,0,Th,5,5,22
215.2.1823,Matter of Balance,Fall 2013,Closed,Active Adults (50+) Classes,Evergreen Community Center,3,2013-09-10T00:00:00,2013-10-29T00:00:00,09:30:00,11:30:00,50,0,Tu,16,8,18
215.2.1811,PiYo,Fall 2013,Cancelled,Active Adults (50+) Classes,Evergreen Community Center,0,2013-09-13T00:00:00,2013-11-08T00:00:00,08:30:00,09:30:00,50,0,F,0,0,54
215.2.1809,Zumba Gold,Fall 2013,Closed,Active Adults (50+) Classes,Evergreen Community Center,11,2013-09-12T00:00:00,2013-10-17T00:00:00,10:15:00,11:15:00,50,0,Th,6,6,45
215.2.1810,Zumba Gold,Fall 2013,Closed,Active Adults (50+) Classes,Evergreen Community Center,9,2013-10-24T00:00:00,2013-11-21T00:00:00,10:15:00,11:15:00,50,0,Th,5,5,38
239.2.1811,Enhance Fitness,Fall 2013,Closed,Active Adults (50+) Classes,Seven Trees Community Center,16,2013-10-01T00:00:00,2013-11-07T00:00:00,10:00:00,11:00:00,50,0,Tu Th,12,12,39
239.2.1812,Enhance Fitness,Fall 2013,Closed,Active Adults (50+) Classes,Seven Trees Community Center,16,2013-11-12T00:00:00,2013-12-12T00:00:00,10:00:00,11:00:00,50,0,Tu Th,9,9,31
239.2.1813,Line Dancing Soul,Fall 2013,Closed,Active Adults (50+) Classes,Seven Trees Community Center,19,2013-09-19T00:00:00,2013-10-24T00:00:00,13:30:00,15:30:00,50,0,Th,10,5,31
239.2.1814,Line Dancing Soul,Fall 2013,Closed,Active Adults (50+) Classes,Seven Trees Community Center,17,2013-11-07T00:00:00,2013-12-12T00:00:00,13:30:00,15:30:00,50,0,Th,10,5,31
219.2.1806,Advance Photoshop,Fall 2013,Closed,Active Adults (50+) Classes,Southside Community Center,5,2013-11-20T00:00:00,2013-12-18T00:00:00,09:30:00,11:30:00,50,0,W,10,5,34
219.2.1803,Basic Photoshop,Fall 2013,Closed,Active Adults (50+) Classes,Southside Community Center,10,2013-09-11T00:00:00,2013-10-09T00:00:00,09:30:00,11:30:00,50,0,W,10,5,34
219.2.1804,Chinese Brush Painting,Fall 2013,Closed,Active Adults (50+) Classes,Southside Community Center,9,2013-09-13T00:00:00,2013-10-25T00:00:00,09:30:00,11:30:00,50,0,F,14,7,101
219.2.1854,Chinese Brush Painting,Fall 2013,Closed,Active Adults (50+) Classes,Southside Community Center,0,2013-11-01T00:00:00,2013-12-20T00:00:00,09:30:00,11:30:00,50,0,F,14,7,101
219.2.1800,Enhance Fitness,Fall 2013,Closed,Active Adults (50+) Classes,Southside Community Center,22,2013-10-01T00:00:00,2013-12-12T00:00:00,08:30:00,09:30:00,50,0,Tu Th,21,21,65
219.2.1805,Intermediate Photoshop,Fall 2013,Closed,Active Adults (50+) Classes,Southside Community Center,5,2013-10-16T00:00:00,2013-11-13T00:00:00,09:30:00,11:30:00,50,0,W,10,5,34
219.2.1972,Ipad Art Plus,Fall 2013,Closed,Active Adults (50+) Classes,Southside Community Center,0,2013-10-28T00:00:00,2013-12-02T00:00:00,09:30:00,11:30:00,50,0,M,10,5,57
219.2.1973,Ipad Beginner,Fall 2013,Closed,Active Adults (50+) Classes,Southside Community Center,2,2013-09-16T00:00:00,2013-10-21T00:00:00,09:30:00,11:30:00,50,0,M,10,5,57
219.2.1851,Line Dance Beginning,Fall 2013,Closed,Active Adults (50+) Classes,Southside Community Center,21,2013-11-04T00:00:00,2013-12-16T00:00:00,13:30:00,14:30:00,50,0,M,6,6,30
219.2.1852,Line Dance- Intermediate,Fall 2013,Closed,Active Adults (50+) Classes,Southside Community Center,5,2013-11-04T00:00:00,2013-12-16T00:00:00,14:45:00,16:00:00,50,0,M,7.5,6,40
219.2.1801,Line Dance-Beginning,Fall 2013,Closed,Active Adults (50+) Classes,Southside Community Center,22,2013-09-09T00:00:00,2013-10-21T00:00:00,01:30:00,02:30:00,50,0,M,6,6,30
219.2.1802,Line Dance-Intermediate,Fall 2013,Closed,Active Adults (50+) Classes,Southside Community Center,4,2013-09-09T00:00:00,2013-10-21T00:00:00,14:45:00,16:00:00,50,0,M,7.5,6,40
255.2.1800,Enhance Fitness,Fall 2013,Closed,Active Adults (50+) Classes,Willow Glen Community Center,22,2013-10-02T00:00:00,2013-12-13T00:00:00,10:00:00,11:00:00,50,0,W F,22,22,63
255.2.1801,Enhance Fitness,Fall 2013,Closed,Active Adults (50+) Classes,Willow Glen Community Center,19,2013-10-02T00:00:00,2013-12-18T00:00:00,11:15:00,12:15:00,50,0,W F,22,22,63
255.2.1802,Enhance Fitness,Fall 2013,Closed,Active Adults (50+) Classes,Willow Glen Community Center,13,2013-10-01T00:00:00,2013-12-12T00:00:00,11:30:00,12:30:00,50,0,Tu Th,22,22,63
255.2.1803,Enhance Fitness,Fall 2013,Closed,Active Adults (50+) Classes,Willow Glen Community Center,18,2013-10-07T00:00:00,2013-12-16T00:00:00,09:30:00,10:30:00,50,0,M,9,9,31
255.2.1804,Feldenkrais,Fall 2013,Closed,Active Adults (50+) Classes,Willow Glen Community Center,17,2013-10-07T00:00:00,2013-11-04T00:00:00,08:30:00,09:30:00,50,0,M,4,4,28
255.2.1805,Feldenkrais,Fall 2013,Closed,Active Adults (50+) Classes,Willow Glen Community Center,13,2013-11-18T00:00:00,2013-12-16T00:00:00,08:30:00,09:30:00,50,0,M,5,5,34
255.2.1814,Flower Arrangement Workshop,Fall 2013,Closed,Active Adults (50+) Classes,Willow Glen Community Center,5,2013-10-10T00:00:00,2013-10-10T00:00:00,13:00:00,16:00:00,50,0,Th,3,1,48
255.2.1815,Flower Arrangement Workshop,Fall 2013,Closed,Active Adults (50+) Classes,Willow Glen Community Center,4,2013-11-07T00:00:00,2013-11-07T00:00:00,13:00:00,16:00:00,50,0,Th,3,1,48
255.2.1807,Sketch the World,Fall 2013,Closed,Active Adults (50+) Classes,Willow Glen Community Center,3,2013-10-02T00:00:00,2013-11-06T00:00:00,13:00:00,15:00:00,50,0,W,12,6,58
255.2.1808,Sketch the World,Fall 2013,Closed,Active Adults (50+) Classes,Willow Glen Community Center,6,2013-11-20T00:00:00,2013-12-18T00:00:00,13:00:00,15:00:00,50,0,W,10,5,50
255.2.1809,Tai Chi,Fall 2013,Closed,Active Adults (50+) Classes,Willow Glen Community Center,18,2013-09-19T00:00:00,2013-10-31T00:00:00,09:00:00,10:00:00,50,0,Th,7,7,55
255.2.1810,Tai Chi,Fall 2013,Closed,Active Adults (50+) Classes,Willow Glen Community Center,12,2013-11-07T00:00:00,2013-12-19T00:00:00,09:00:00,10:00:00,50,0,Th,6,6,46
255.2.1811,Watercolor & Pastel,Fall 2013,Closed,Active Adults (50+) Classes,Willow Glen Community Center,14,2013-10-03T00:00:00,2013-11-07T00:00:00,13:00:00,15:00:00,50,0,Th,12,6,65
255.2.1812,Watercolor & Pastel,Fall 2013,Closed,Active Adults (50+) Classes,Willow Glen Community Center,12,2013-11-14T00:00:00,2013-12-19T00:00:00,13:00:00,15:00:00,50,0,Th,10,5,55
255.2.1816,Watercolor & Pastel for Beginners,Fall 2013,Closed,Active Adults (50+) Classes,Willow Glen Community Center,14,2013-10-07T00:00:00,2013-11-04T00:00:00,13:00:00,15:00:00,50,0,M,8,4,56
255.2.1817,Watercolor & Pastel for Beginners,Fall 2013,Closed,Active Adults (50+) Classes,Willow Glen Community Center,13,2013-11-25T00:00:00,2013-12-16T00:00:00,13:00:00,15:00:00,50,0,M,8,4,56
255.2.1820,Yoga - Gentle,Fall 2013,Closed,Active Adults (50+) Classes,Willow Glen Community Center,17,2013-10-01T00:00:00,2013-11-05T00:00:00,10:00:00,11:00:00,50,0,Tu,6,6,50
255.2.1821,Yoga - Gentle,Fall 2013,Closed,Active Adults (50+) Classes,Willow Glen Community Center,19,2013-11-19T00:00:00,2013-12-17T00:00:00,10:00:00,11:00:00,50,0,Tu,5,5,44
219.2.1908,Ceramics,Fall 2013,Closed,Active Adults (50+) Programs,Southside Community Center,13,2013-09-09T00:00:00,2013-10-21T00:00:00,09:30:00,11:30:00,50,0,M,12,6,18
256.2.1984,Intro To Computers,Fall 2013,Closed,Active Adults (50+) Programs,Cypress Community & Senior Center,3,2013-11-06T00:00:00,2013-11-22T00:00:00,09:00:00,11:00:00,50,0,W F,12,6,20
256.2.1983,Intro To Excel,Fall 2013,Closed,Active Adults (50+) Programs,Cypress Community & Senior Center,0,2013-10-23T00:00:00,2013-11-01T00:00:00,09:00:00,11:00:00,50,0,W F,8,4,16
256.2.1982,Intro To Word,Fall 2013,Closed,Active Adults (50+) Programs,Cypress Community & Senior Center,0,2013-10-02T00:00:00,2013-10-11T00:00:00,09:00:00,11:00:00,50,0,W F,8,4,16
257.2.1928,Publishers Roundtable,Fall 2013,Closed,Active Adults (50+) Programs,Camden Community Center,0,2013-09-05T00:00:00,2013-11-07T00:00:00,11:30:00,13:30:00,50,99,Th,20,10,10
251.2.1901,Ballroom Dance,Fall 2013,Closed,Active Adults (50+) Programs,Almaden Community Center,21,2013-10-04T00:00:00,2013-12-13T00:00:00,18:00:00,20:00:00,50,0,F,18,9,15
251.2.1902,Ballroom Dance,Fall 2013,Closed,Active Adults (50+) Programs,Almaden Community Center,16,2013-10-07T00:00:00,2013-12-09T00:00:00,13:00:00,15:00:00,50,0,M,16,8,14
251.2.1915,Ballroom Dance Beginners,Fall 2013,Closed,Active Adults (50+) Programs,Almaden Community Center,21,2013-10-03T00:00:00,2013-12-12T00:00:00,14:00:00,15:45:00,50,0,Th,17.5,10,16
251.2.1903,Ballroom Dancercize,Fall 2013,Closed,Active Adults (50+) Programs,Almaden Community Center,10,2013-10-07T00:00:00,2013-12-09T00:00:00,15:00:00,16:30:00,50,0,M,12,8,14
251.2.1908,Belly Dancing,Fall 2013,Closed,Active Adults (50+) Programs,Almaden Community Center,17,2013-09-06T00:00:00,2013-12-13T00:00:00,12:15:00,13:15:00,50,0,F,14,14,20
251.2.1910,Bridge Beginning,Fall 2013,Closed,Active Adults (50+) Programs,Almaden Community Center,19,2013-10-03T00:00:00,2013-12-12T00:00:00,09:30:00,11:30:00,50,0,Th,20,10,16
251.2.1808,Bridge Beginning Class,Fall 2013,Closed,Active Adults (50+) Programs,Almaden Community Center,10,2013-09-05T00:00:00,2013-10-17T00:00:00,13:00:00,14:30:00,50,0,Th,10.5,7,34
251.2.1813,Bridge Beginning Class,Fall 2013,Closed,Active Adults (50+) Programs,Almaden Community Center,13,2013-10-24T00:00:00,2013-12-12T00:00:00,13:00:00,14:30:00,50,0,Th,10.5,7,34
251.2.1911,Bridge Intermediate,Fall 2013,Closed,Active Adults (50+) Programs,Almaden Community Center,15,2013-10-01T00:00:00,2013-12-10T00:00:00,10:00:00,12:00:00,50,0,Tu,22,11,17
251.2.1814,Bridge Intermediate Class,Fall 2013,Closed,Active Adults (50+) Programs,Almaden Community Center,8,2013-09-03T00:00:00,2013-10-22T00:00:00,13:00:00,15:00:00,50,0,Tu,14,7,50
251.2.1815,Bridge Intermediate Class,Fall 2013,Closed,Active Adults (50+) Programs,Almaden Community Center,8,2013-10-29T00:00:00,2013-12-10T00:00:00,13:00:00,15:00:00,50,0,Tu,14,7,50
